amfi_code,sortino_ratio,scheme_name
148567,2.3856443733687978,Mirae Asset Large Cap Fund - Regular - Growth
120843,2.3643200321667095,Kotak Flexicap Fund - Regular - Growth
148569,2.14691392634605,Mirae Asset Tax Saver Fund - Regular - Growth
119551,2.140267129061778,SBI Bluechip Fund - Regular Plan - Growth
120505,2.029352940465737,ICICI Pru Midcap Fund - Regular - Growth
149323,1.8751010639191963,DSP Midcap Fund - Regular - Growth
118632,1.850132546855717,Nippon India Large Cap Fund - Regular - Growth
100033,1.829133961514691,HDFC Mid-Cap Opportunities Fund - Regular - Growth
120504,1.8052937940992424,ICICI Pru Bluechip Fund - Direct - Growth
101206,1.799562874698445,ABSL Frontline Equity Fund - Regular - Growth
119094,1.7037974802462925,Axis Midcap Fund - Regular - Growth
119598,1.675316570012547,SBI Small Cap Fund - Regular Plan - Growth
148568,1.6327409778735096,Mirae Asset Emerging Bluechip Fund - Regular - Growth
149324,1.6197931764914024,DSP Small Cap Fund - Regular - Growth
119552,1.6097764896282987,SBI Bluechip Fund - Direct Plan - Growth
102885,1.4357420130649396,UTI Nifty 50 Index Fund - Regular - Growth
120503,1.3379431500669132,ICICI Pru Bluechip Fund - Regular - Growth
125497,1.3306512447571266,HDFC Top 100 Fund - Direct Plan - Growth
118633,1.1544757169236162,Nippon India Large Cap Fund - Direct - Growth
118635,1.1379767187807344,Nippon India ETF Nifty 50 BeES
120506,1.0958951614736425,ICICI Pru Value Discovery Fund - Regular - Growth
102887,1.0887552508029967,UTI Flexi Cap Fund - Regular - Growth
120507,1.0521238822579861,ICICI Pru Liquid Fund - Regular - Growth
120841,0.8625738849916469,Kotak Bluechip Fund - Regular - Growth
149322,0.7621288703723081,DSP Top 100 Equity Fund - Regular - Growth
118634,0.7460146308533518,Nippon India Small Cap Fund - Regular - Growth
125498,0.5088128197169164,HDFC Mid-Cap Opportunities Fund - Direct - Growth
101207,0.2766437962609221,ABSL Small Cap Fund - Regular - Growth
119093,0.22108683979275506,Axis Bluechip Fund - Direct - Growth
120842,0.12469346986474822,Kotak Emerging Equity Fund - Regular - Growth
119092,0.0525739855930443,Axis Bluechip Fund - Regular - Growth
119599,-0.09438726129459904,SBI Small Cap Fund - Direct Plan - Growth
119095,-0.1281855927585191,Axis Small Cap Fund - Regular - Growth
120844,-0.18772304774540488,Kotak Liquid Fund - Regular - Growth
102886,-0.3472223025472743,UTI Mid Cap Fund - Regular - Growth
100016,-0.35104746015230837,HDFC Top 100 Fund - Regular Plan - Growth
119120,-0.3767670081707111,SBI Magnum Gilt Fund - Regular Plan - Growth
118636,-0.6135251287271505,Nippon India Gilt Securities Fund - Regular - Growth
100025,-0.9418212366054451,HDFC Short Term Debt Fund - Regular - Growth
101208,-1.6810378667540928,ABSL Liquid Fund - Regular - Growth
